  57 TAZ
 144 NTI
  1 1.00    0.00     8.8   7.479
  1 1.00    0.00     8.5   7.239
  1 1.00    0.00     8.5   7.239
  1 1.00    0.00     8.5   7.239
  1 1.00    0.00     8.3   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.5   6.909
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.7   6.599
  1 1.00    0.00     8.8   6.599
  1 1.00    0.00     8.8   6.599
  1 1.00    0.00     8.8   6.599
  1 1.00    0.00     8.9   6.599
  1 1.00    0.00     8.9   6.599
  1 1.00    0.00     9.1   7.039
  1 1.00    0.00     9.2   7.039
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.5   6.599
  1 1.00    0.00     9.6   6.599
  1 1.00    0.00     9.7   6.599
  1 1.00    0.00     9.8   6.599
  1 1.00    0.00     9.7   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00     9.9   6.599
  1 1.00    0.00     9.8   6.599
  1 1.00    0.00    10.1   7.039
  1 1.00    0.00    10.1   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.1   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.2   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.3   6.599
  1 1.00    0.00    10.3   6.599
  1 1.00    0.00    10.6   6.659
  1 1.00    0.00    10.8   6.659
  1 1.00    0.00    10.7   6.599
  1 1.00    0.00    10.3   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00    10.2   7.039
  1 1.00    0.00     9.7   6.599
  1 1.00    0.00    10.0   6.599
  1 1.00    0.00     9.7   7.039
  1 1.00    0.00     9.3   6.599
  1 1.00    0.00     9.3   6.599
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.4   6.599
  1 1.00    0.00     9.5   6.599
