hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,TripStartTime,TripActivityTime
2920675,0,-1,1,visiting,visiting,Home,28,0,0,1,0,0,32,3,2,3,JOINT_NON_MANDATORY,0,0,7,1,0,0,1,1027,409
3155268,0,-1,0,discretionary,Home,discretionary,1,0,0,34,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,1,9,0,0,2,953,95
3155268,0,-1,1,discretionary,discretionary,Home,34,0,0,1,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,9,1,0,0,2,1054,381
3155273,0,-1,0,discretionary,Home,discretionary,1,0,0,64,0,0,16,3,2,3,JOINT_NON_MANDATORY,0,0,1,16,0,0,1,563,352
3155273,0,-1,1,discretionary,discretionary,Home,64,0,0,1,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,16,1,0,0,1,921,51
2101357,0,-1,0,maintenance,Home,maintenance,1,0,0,62,0,0,30,5,3,5,JOINT_NON_MANDATORY,0,0,1,16,0,0,1,966,71
2101357,0,-1,1,maintenance,maintenance,Home,62,0,0,1,0,0,33,5,3,5,JOINT_NON_MANDATORY,0,0,16,1,0,0,1,1051,381
1839512,0,-1,0,discretionary,Home,discretionary,1,0,0,4,0,0,4,7,2,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,181,24
1839512,0,-1,1,discretionary,discretionary,Home,4,0,0,1,0,0,5,7,2,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,216,73
1839512,1,-1,0,discretionary,Home,discretionary,1,0,0,7,0,0,32,3,2,3,JOINT_NON_MANDATORY,0,0,1,2,0,0,1,1043,22
1839512,1,-1,1,discretionary,discretionary,Home,7,0,0,1,0,0,33,3,2,3,JOINT_NON_MANDATORY,0,0,2,1,0,0,1,1066,373
1737984,0,-1,0,maintenance,Home,maintenance,1,0,0,7,0,0,29,5,7,5,JOINT_NON_MANDATORY,0,0,1,2,0,0,8,957,269
1737984,0,-1,1,maintenance,maintenance,Home,7,0,0,1,0,0,38,5,7,5,JOINT_NON_MANDATORY,0,0,2,1,0,0,8,1228,211
1737984,1,-1,0,visiting,Home,visiting,1,0,0,8,0,0,4,5,7,5,JOINT_NON_MANDATORY,0,0,1,2,0,0,3,193,14
1737984,1,-1,1,visiting,visiting,Home,8,0,0,1,0,0,4,5,7,5,JOINT_NON_MANDATORY,0,0,2,1,0,0,3,208,747
1839529,0,-1,0,eatingout,Home,eatingout,1,0,0,29,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,1,8,0,0,1,899,203
1839529,0,-1,1,eatingout,eatingout,Home,29,0,0,1,0,0,34,3,2,3,JOINT_NON_MANDATORY,0,0,8,1,0,0,1,1107,328
2066756,0,-1,0,discretionary,Home,discretionary,1,0,0,4,0,0,27,7,4,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,896,162
2066756,0,-1,1,discretionary,discretionary,Home,4,0,0,1,0,0,33,7,4,7,JOINT_NON_MANDATORY,0,0,1,1,0,0,-1,1072,356
1839454,0,-1,0,maintenance,Home,maintenance,1,0,0,4,0,0,6,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,253,14
1839454,0,-1,1,maintenance,maintenance,Home,4,0,0,1,0,0,6,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,268,37
3440444,0,-1,0,shop,Home,shop,1,0,0,17,0,0,3,3,2,3,JOINT_NON_MANDATORY,0,0,1,5,0,0,2,155,50
3440444,0,-1,1,shop,shop,Home,17,0,0,1,0,0,4,3,2,3,JOINT_NON_MANDATORY,0,0,5,1,0,0,2,207,127
3416214,0,-1,0,maintenance,Home,maintenance,1,0,0,65,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,1,17,0,0,1,960,46
3416214,0,-1,1,maintenance,maintenance,Home,65,0,0,1,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,17,1,0,0,1,1014,5
2920671,0,-1,0,shop,Home,shop,1,0,0,13,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,1,4,0,0,2,894,27
2920671,0,-1,1,shop,shop,Home,13,0,0,1,0,0,28,3,2,3,JOINT_NON_MANDATORY,0,0,4,1,0,0,2,922,14
2920671,1,-1,0,shop,Home,shop,1,0,0,45,0,0,36,3,2,3,JOINT_NON_MANDATORY,0,0,1,12,0,0,2,1147,224
2920671,1,-1,1,shop,shop,Home,45,0,0,1,0,0,40,3,2,3,JOINT_NON_MANDATORY,0,0,12,1,0,0,2,1378,55
1839473,0,-1,0,discretionary,Home,discretionary,1,0,0,1,0,0,31,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,1012,176
1839473,0,-1,1,discretionary,discretionary,Home,1,0,0,1,0,0,37,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,1189,250
3358930,0,-1,0,shop,Home,shop,1,0,0,1,0,0,21,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,718,42
3358930,0,-1,1,shop,shop,Home,1,0,0,1,0,0,23,3,2,3,JOINT_NON_MANDATORY,0,0,1,1,0,0,2,761,83
