hh_id,tour_id,stop_id,inbound,tour_purpose,orig_purpose,dest_purpose,orig_maz,orig_walk_segment,orig_park_maz,dest_maz,dest_walk_segment,parking_taz,stop_period,trip_mode,num_participants,tour_mode,tour_category,board_tap,alight_tap,orig_taz,dest_taz,orig_park_taz,dest_park_taz,driver,SimulatedTravelTime                                             
1845541,0,-1,0,visiting,Home,visiting,74,0,0,77,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,19,20,0,0,2,4.70                                                 
1845541,0,-1,1,visiting,visiting,Home,77,0,0,74,0,0,30,3,2,3,JOINT_NON_MANDATORY,0,0,20,19,0,0,2,1.00                                                 
2212583,0,-1,0,shop,Home,shop,74,0,0,45,0,0,9,5,5,5,JOINT_NON_MANDATORY,0,0,19,12,0,0,1,0.20                                                          
2212583,0,-1,1,shop,shop,Home,45,0,0,74,0,0,11,5,5,5,JOINT_NON_MANDATORY,0,0,12,19,0,0,1,0.20                                                         
2212583,1,-1,0,discretionary,Home,discretionary,74,0,0,47,0,0,15,5,3,5,JOINT_NON_MANDATORY,0,0,19,12,0,0,1,0.20                                       
2212583,1,-1,1,discretionary,discretionary,Home,47,0,0,74,0,0,16,5,3,5,JOINT_NON_MANDATORY,0,0,12,19,0,0,1,0.20                                       
563866,0,-1,0,shop,Home,shop,74,0,0,61,0,0,14,3,2,3,JOINT_NON_MANDATORY,0,0,19,16,0,0,2,4.00                                                          
563866,0,-1,1,shop,shop,Home,61,0,0,74,0,0,24,3,2,3,JOINT_NON_MANDATORY,0,0,16,19,0,0,2,7.50                                                          
1266927,0,-1,0,shop,Home,shop,74,0,0,39,0,0,13,3,2,3,JOINT_NON_MANDATORY,0,0,19,10,0,0,2,5.40                                                         
1266927,0,-1,1,shop,shop,Home,39,0,0,74,0,0,20,3,2,3,JOINT_NON_MANDATORY,0,0,10,19,0,0,2,5.90                                                         
712946,0,-1,0,shop,Home,shop,74,0,0,62,0,0,24,7,2,7,JOINT_NON_MANDATORY,0,0,19,16,0,0,-1,0.00                                                         
712946,0,-1,1,shop,shop,Home,62,0,0,74,0,0,24,7,2,7,JOINT_NON_MANDATORY,0,0,16,19,0,0,-1,0.00                                                         
1630971,0,-1,0,maintenance,Home,maintenance,74,0,0,71,0,0,30,7,3,7,JOINT_NON_MANDATORY,0,0,19,18,0,0,-1,0.00                                          
1630971,0,-1,1,maintenance,maintenance,Home,71,0,0,74,0,0,31,7,3,7,JOINT_NON_MANDATORY,0,0,18,19,0,0,-1,0.00                                          
1669317,0,-1,0,discretionary,Home,discretionary,74,0,0,57,0,0,2,5,4,5,JOINT_NON_MANDATORY,0,0,19,15,0,0,2,4.40                                        
1669317,0,-1,1,discretionary,discretionary,Home,57,0,0,74,0,0,3,5,4,5,JOINT_NON_MANDATORY,0,0,15,19,0,0,2,3.30                                        
1401834,0,-1,0,eatingout,Home,eatingout,74,0,0,79,0,0,27,3,2,3,JOINT_NON_MANDATORY,0,0,19,20,0,0,2,1.10                                               
1401834,0,-1,1,eatingout,eatingout,Home,79,0,0,74,0,0,29,3,2,3,JOINT_NON_MANDATORY,0,0,20,19,0,0,2,1.20                                               
2212593,0,-1,0,discretionary,Home,discretionary,74,0,0,71,0,0,28,5,5,5,JOINT_NON_MANDATORY,0,0,19,18,0,0,1,1440.00                                    
